"",Gender,University,Marital Status,Age at Recruitment,Antrim Brigade,Derry Brigade,Armagh Brigade,Down Brigade,Tyrone Brigade,Fermanagh Brigade,Period4-5Vio,Period4-5NonVio,Period4-5VForOp,Period4-5Senior,Period4-5Gun,Period4-5IED_C,Period4-5IED_P,Period4-5ForOp,Period4-5Rob
ZF345,0,1,99999,21,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
ZF349,0,0,99999,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF350,0,0,1,27,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF351,0,0,1,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF353,1,0,99999,18,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
ZF354,0,0,99999,20,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF358,0,0,0,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF36,1,0,99999,18,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF367,0,0,99999,42,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF370,0,0,0,24,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF393,0,0,1,43,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF394,0,0,1,23,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF402,0,0,99999,33,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
ZF407,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF410,0,0,99999,21,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
ZF411,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF414,0,0,1,25,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF415,0,0,1,51,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ZF418,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF420,0,0,0,18,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
