"",Gender,University,Marital Status,Age at Recruitment,Antrim Brigade,Derry Brigade,Armagh Brigade,Down Brigade,Tyrone Brigade,Fermanagh Brigade,Period3Vio,Period3NonVio,Period3VForOp,Period3Senior,Period3Gun,Period3IED_C,Period3IED_P,Period3ForOp,Period3Rob
ZF442,0,1,99999,99999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF443,0,0,99999,28,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
ZF444,0,0,0,19,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1
ZF445,0,1,0,24,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF446,0,0,99999,20,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
ZF447,0,0,1,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF450,0,0,99999,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ZF452,0,0,99999,99999,99999,99999,99999,99999,99999,99999,0,0,0,0,0,0,0,0,0
ZF454,0,0,0,23,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
ZF456,0,0,0,99999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ZF459,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF46,0,0,0,29,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF461,0,0,99999,99999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZF471,0,0,99999,25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ZF473,0,0,1,20,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
